tema_canonico,disciplina,especialidade,unidade,prioridade,forca_fonte,risco_clinico,evidencia_de_prova,source_ids,nota
Formato da avaliação de Discussão de Casos Clínicos P7 — simulação em grupos (Dr. Nomário),CASOS_CLINICOS,Casos Clínicos (metodologia de avaliação),A_DEFINIR,alta,forte,baixo,False,Cronograma_Casos_Cli_nicos_P7_2025_Dr_Noma_rio__f855930713,"FATO (cronograma 2025.1, P7A e P7B, segundas 17:00): (1) Apresentação à disciplina + divisão em 4 GRUPOS + apresentação do tema e DIVISÃO DAS ETIOLOGIAS POR GRUPO; (2) sessão de 'correção e ajustes dos casos clínicos ELABORADOS PELOS GRUPOS' 1 e 2; (3) 'Apresentação da SIMULAÇÃO dos grupos 1 e 2' com presença obrigatória de todos os grupos para assistir; (4) repete para grupos 3 e 4; (5) sessão de FEEDBACK da atividade. Turma A em fev-mar, turma B em abr-mai; semanas de prova sem atividade teórica; junho = Semana da Integrada. LACUNA CRÍTICA: o cronograma NÃO nomeia o tema nem as etiologias qu"
"Ganho de peso, obesidade e síndrome metabólica — avaliação e tratamento",CASOS_CLINICOS,Casos Clínicos / Endocrinologia,A_DEFINIR,media,media,medio,True,2_Avaliac_a_o_Casos_Cli_nicos_TURMA_B_2021_1__7bf703af15|FACILITA_OSCE_1___6c6a714b3e|Ganho_de_Peso_1___c870af3fac|OSCE_ENDOCRINOLOGIA__4796d07aed,"FATO: indicações de farmacoterapia = falha da abordagem não farmacológica, IMC ≥30 ou ≥25 com comorbidade; eficácia FDA >5% e EMEA >10% sobre placebo em 3-6 meses. Fármacos on-label: sibutramina (CI em DM2 com fator de risco, DAC, IC, taquiarritmia, AVC/AIT, DAOP, HAS mal controlada, >65 anos, transtornos psiquiátricos), orlistate, bupropiona+naltrexona (CI convulsão, HAS mal controlada, opioides), liraglutida, semaglutida. Bariátrica: IMC ≥40 ou ≥35 com comorbidade, tratamento clínico há ≥2 anos, 16-65 anos; repor ferro, B12, cálcio e vitamina D. Circunferência abdominal nível 1 e 2 por sexo."
"Tireoidopatias em caso clínico — hipotireoidismo, nódulo tireoidiano e conduta de PAAF",CASOS_CLINICOS,Casos Clínicos / Endocrinologia,A_DEFINIR,media,media,medio,True,2_Avaliac_a_o_Casos_Cli_nicos_TURMA_B_2021_1__7bf703af15|FACILITA_OSCE_1___6c6a714b3e|OSCE_ENDOCRINOLOGIA__4796d07aed,"EVIDÊNCIA DE PROVA 2021: Q1 — mulher 52 anos, diabética, edema de MMII, constipação, queda de cabelo, pele ressecada, FC 52 bpm → hipotireoidismo, solicitar TSH, T3 total, T4 livre. Q3 — mulher 32 anos, TSH 6,5 com T4L normal, dois nódulos (0,8 cm com microcalcificações e 0,5 cm), Chammas II → PAAF do nódulo de 0,8 cm e repetir função em 3 meses. Padrão da prova: caso + 'qual o diagnóstico E quais exames/conduta'. SOBREPOSIÇÃO: conteúdo doutrinário está na frente EISA II."
"Cirrose hepática, ascite e peritonite bacteriana espontânea",CASOS_CLINICOS,Casos Clínicos / Gastro-Hepatologia,A_DEFINIR,alta,media,alto,True,2_Avaliac_a_o_Casos_Cli_nicos_TURMA_B_2021_1__7bf703af15|CASOS_CL_NICOS_RESUMO__249c11a613|Casos_Cli_nicos_P7_1__4f3f459b20,"FATO (resumo): causas de cirrose, fatores de risco tabelados por doença hepática associada, sinais de feminilização, hipertensão portal, AST/ALT>2 com AST<300 sugerindo álcool, albumina <3 e TP >3 s de prolongamento; único tratamento definitivo é o transplante. EVIDÊNCIA DE PROVA (2021, TURMA B): Q4 — mulher 65 anos, ascite, perda de 6 kg, GASA 0,8 g/dL → carcinomatose peritoneal; Q7 — cirrótico alcoólico confuso, líquido ascítico com 200 leucócitos e 80% PMN + E. coli → peritonite bacteriana espontânea. LACUNA: não há material didático de ascite no corpus (a aula de 16/10 aparece só como anot"
Abordagem à diarreia aguda e crônica — diagnóstico diferencial e investigação,CASOS_CLINICOS,Casos Clínicos / Gastroenterologia,A_DEFINIR,alta,forte,alto,True,Abordagem_a_s_diarreias__41fb86fd8c|CASOS_CL_NICOS_RESUMO__249c11a613|Casos_Cli_nicos_P7_1__4f3f459b20|manejo_do_paciente_com_diarreia_avaliacao_do_estad_240912_14__d02d8d34b1,"FATO: definições (aguda <14 dias, crônica >30 dias no slide e >4 semanas no resumo; disenteria = muco e sangue; >200 g/dia). Indicações de investigação: diarreia sanguinolenta, febre >38,5 °C, >6 dejeções/dia ou >48 h, dor abdominal severa, idoso ou imunodeprimido. Caso-índice do slide: mulher 17 anos, diarreia crônica com sangue, artralgia, perda de 10 kg, PCR 340, colonoscopia com acometimento difuso e contínuo + pseudopólipos = retocolite ulcerativa. Anotação manuscrita de 14/08 lista os diagnósticos diferenciais cobrados: doença celíaca, Crohn, intolerância à lactose, SII, amebíase/giardía"
Doença celíaca,CASOS_CLINICOS,Casos Clínicos / Gastroenterologia,A_DEFINIR,media,media,baixo,True,Abordagem_a_s_diarreias__41fb86fd8c|Casos_Cli_nicos_P7_1__4f3f459b20,"FATO: HLA-DQ2 (95%) e DQ8 (5%); paciente típico é <10% dos casos (criança <5 anos com anemia ferropriva refratária), 90% oligossintomáticos. Anticorpos: anti-transglutaminase tecidual IgA (sensível) + IgA sérica total, anti-endomísio (específico). EDA faz o diagnóstico: atrofia de vilosidades + hiperplasia de criptas, revertendo em 3-12 meses sem glúten. Risco de linfoma (18%) e câncer gastrointestinal. CONFLITO POTENCIAL: a anotação manuscrita afirma 'a DC não é comum ter esteatorreia', enquanto o slide lista 'diarreia crônica com esteatorreia' no quadro típico — OCR de baixa confiança, não r"
Doença inflamatória intestinal — Crohn versus retocolite ulcerativa,CASOS_CLINICOS,Casos Clínicos / Gastroenterologia,A_DEFINIR,media,media,medio,False,Abordagem_a_s_diarreias__41fb86fd8c|Casos_Cli_nicos_P7_1__4f3f459b20,"FATO: pico bimodal 15-40 e 50-80 anos; até 20% colite indeterminada. RCU restrita ao cólon (reto e sigmoide), padrão contínuo e ascendente, restrita à mucosa, pseudopólipos, criptite, megacólon tóxico. Crohn 'da boca ao ânus' com íleo terminal, poupa reto, padrão salteado, transmural (fístulas e estenoses), granulomas não caseosos. Extraintestinais com atividade: episclerite e eritema nodoso; sem atividade: pioderma gangrenoso, colangite esclerosante primária, espondilite/artralgia, uveíte. Diagnóstico: PCR, VHS e calprotectina fecal ↑, ASCA (Crohn) e p-ANCA (RCU), colonoscopia. Tratamento: 5-"
Síndrome do intestino irritável,CASOS_CLINICOS,Casos Clínicos / Gastroenterologia,A_DEFINIR,baixa,fraca,baixo,False,Abordagem_a_s_diarreias__41fb86fd8c|CASOS_CL_NICOS_RESUMO__249c11a613,"FATO: dor abdominal crônica e recorrente com alteração do hábito intestinal, sem base orgânica; NÃO acorda o paciente; perfil clássico mulher 30-50 anos com estresse. Exames apenas se sintomas que mimetizam DII. Tratamento: orientação dietética, escopolamina e bromoprida, antidepressivos tricíclicos e ISRS. LACUNA: critérios diagnósticos formais ausentes na fonte."
Colite pseudomembranosa por Clostridioides difficile,CASOS_CLINICOS,Casos Clínicos / Gastroenterologia-Infectologia,A_DEFINIR,media,media,alto,False,Abordagem_a_s_diarreias__41fb86fd8c,"FATO: paciente clássico = idoso, uso recente de ATB (clindamicina principal, fluoroquinolonas, cefalosporinas), cirurgia abdominal prévia, uso de SNE. Diagnóstico: toxinas A e B (ELISA/PCR), coprocultura, colonoscopia com pseudomembranas amarelo-esbranquiçadas. Tratamento: VANCOMICINA VIA ORAL 125 mg 6/6 h (de escolha); metronidazol VO 500 mg 8/8 h; fidaxomicina se recorrência; se grave/septicemia vancomicina VO + metronidazol EV; transplante de microbiota fecal. ATENÇÃO: a via oral da vancomicina é o ponto de erro clássico — marcar na camada de precisão."
Icterícia e interpretação das provas de função hepática,CASOS_CLINICOS,Casos Clínicos / Hepatologia,A_DEFINIR,media,fraca,medio,False,CASOS_CL_NICOS_RESUMO__249c11a613|Casos_Cli_nicos_P7_1__4f3f459b20,"FATO parcial (OCR degradado, baixa confiança): aula de 07/08 sobre icterícia com graduação de intensidade (dúvida / certeza / olho amarelo / corpo todo amarelo), exames de função hepática = albumina, bilirrubina, coagulograma; função renal = sódio, potássio, ureia, creatinina. O resumo textual complementa com elevação de bilirrubina direta = colestase e indireta isolada = Gilbert/hemólise. PENDENTE DE VISÃO: reler Casos Clínicos P7 1.pdf para recuperar o conteúdo real."
