claim_id,capsule_id,claim_type,clinical_validity,criticality,source_version_ids,source_version_fk_status,locator_count,evidence_locator_status,detector_linked_occurrences,detector_linkage_status,coverage_interpretation
claim:ais.definition,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,other,current,high,source-version:aha-asa.ais.2026-01-26,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:ais.disabling,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,threshold,current,high,source-version:aha-asa.ais.2026-01-26,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:ais.evt,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,time_window,current,high,source-version:aha-asa.ais.2026-01-26,complete,1,complete,0,not_linked_known_temporal_token_limit,claim is registered; detector linkage is absent because bare temporal values are intentionally excluded by the frozen conservative matcher
claim:ais.ivt-window,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,time_window,current,high,source-version:aha-asa.ais.2026-01-26,complete,1,complete,7,linked,registry claim and lexical occurrence linkage are both present
claim:ais.unknown-onset,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,time_window,current,high,source-version:aha-asa.ais.2026-01-26,complete,1,complete,7,linked,registry claim and lexical occurrence linkage are both present
claim:asth.initial-concurrent,capsule:eisca:asma_em_pediatria,treatment_sequence,current,high,source-version:gina.strategy.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:asth.magnesium,capsule:eisca:asma_em_pediatria,treatment_sequence,current,high,source-version:gina.strategy.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:asth.niv,capsule:eisca:asma_em_pediatria,contraindication,current,high,source-version:gina.strategy.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:asth.ocs-dose,capsule:eisca:asma_em_pediatria,dose,current,high,source-version:gina.strategy.2026,complete,1,complete,5,linked,registry claim and lexical occurrence linkage are both present
claim:asth.severity-oxygen,capsule:eisca:asma_em_pediatria,threshold,current,high,source-version:gina.strategy.2026,complete,1,complete,10,linked,registry claim and lexical occurrence linkage are both present
