capsule_path,section_row,claim_text,source_ids
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,4,Causas de dispneia aguda | asma brônquica; inalação de corpo estranho; pneumotórax; embolia pulmonar; isquemia/IAM; ICC descompensada; TAG (crise de ansiedade); paralisia diafragmática | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,5,Causas de dispneia crônica | doença pulmonar intersticial; doença pulmonar obstrutiva; derrame pleural; doença pulmonar restritiva; ICC; hipertensão pulmonar; angina; anemia; descondicionamento físico | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,6,"Sinais de alerta (""sinais de alarme"") | dispneia em repouso durante o exame; diminuição do nível de consciência ou agitação/confusão mental; uso de musculatura acessória e excursão do ar reduzida; dor torácica; crepitações; perda ponderal; sudorese noturna; palpitações | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,7,"Interpretação de achados de ausculta | sibilos: asma/DPOC; estridor: obstrução extratorácica de vias respiratórias; crepitação: IC esquerda, doença pulmonar intersticial, ou pneumonia (se acompanhada de sinais de consolidação) | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,8,Achados de exame físico direcionadores | turgência jugular e edema pré-sacral/de MMII sugerem IC; bulhas extras/abafadas/sopros; palidez conjuntival (anemia); linfadenopatia cervical/supraclavicular/inguinal | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,9,"Fatores de risco a investigar na HDA | imobilização/cirurgia recente, viagem longa, câncer, história pessoal/familiar de coagulopatia, gestação, ACO, dor em panturrilha, edema de MMII e TVP conhecida — todos apontando para TEP | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,10,Exames de primeira linha | oximetria de pulso; RX de tórax; ECG; gasometria arterial; angioTC (se suspeita de TEP) | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,4,"Definição de diarreia | frequência aumentada ou fezes amolecidas, massa >200g/dia | CASOS_CLINICOS_RESUMO; Casos_Clinicos_P7_1 p.5; Abordagem_a_s_diarreias p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,5,Diarreia aguda | duração <14 dias | CASOS_CLINICOS_RESUMO; Casos_Clinicos_P7_1 p.5 | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,6,Diarreia persistente | 2 a 4 semanas | Casos_Clinicos_P7_1 p.5 | CONFIRMADO,
