detection_id,capsule_id,capsule_path,discipline,risk,line_no,section,section_class,category,tier,critical_category,in_sweep_denominator,capsule_has_registered_claims,linked_claim_ids,link_basis,resolved,source,text
4c4f6e49f7acf7ce,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,20,como cai,pedagogic_meta,emergencia_sinal_alarme,strong,True,False,False,,,False,single_line,"Não aparece como questão isolada nas devolutivas mapeadas — dispneia entra embutida em vinhetas de ICC, TEP, DPOC/asma, pneumonia, anemia grave e derrame pleural, exigindo que o aluno reconheça o mecanismo (obstrutivo x restritivo x cardíaco x vascular x metabólico) a partir da ausculta e da história, e priorize a causa que ameaça a vida antes de fechar a mais ""familiar""."
8867c76d43d28b96,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,20,como cai,pedagogic_meta,sequencia_terapeutica,weak,True,False,False,,,False,single_line,"Não aparece como questão isolada nas devolutivas mapeadas — dispneia entra embutida em vinhetas de ICC, TEP, DPOC/asma, pneumonia, anemia grave e derrame pleural, exigindo que o aluno reconheça o mecanismo (obstrutivo x restritivo x cardíaco x vascular x metabólico) a partir da ausculta e da história, e priorize a causa que ameaça a vida antes de fechar a mais ""familiar""."
6d94b646c2f0ecac,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,28,pivo clinico,assertive_clinical,emergencia_sinal_alarme,strong,True,True,False,,,False,single_line,"O achado da ausculta muda o diagnóstico mais provável, mas nenhum achado isolado fecha o caso: sibilos sugerem asma/DPOC, mas insuficiência cardíaca também pode sibilar (""asma cardíaca"") em paciente idoso com cardiopatia prévia; crepitação sugere IC esquerda ou doença intersticial, mas também aparece em pneumonia — o discriminador é o contexto (febre + tosse produtiva = infeccioso; ortopneia + DPN + edema = cardíaco). Sinais de alerta (dispneia em repouso, confusão/agitação, uso de musculatura acessória, dor torácica) mudam a conduta de ""investigar ambulatorialmente"" para ""estabilizar agora""."
4c869df0642e90ce,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,41,operacao x movimento,pedagogic_meta,emergencia_sinal_alarme,strong,True,False,False,,,False,single_line,"| priorizar emergência | sinais de alerta: dispneia em repouso, confusão/agitação, uso de musculatura acessória, dor torácica, sudorese noturna, perda ponderal | sinal-achado | operacional | narrativa acima do discriminador — investigar a causa ""mais provável"" antes de reconhecer que o paciente já está em sinal de alarme e precisa de estabilização imediata | checklist fixo de sinais de alerta a aplicar antes de qualquer hipótese diagnóstica em vinheta de dispneia |"
fd73c887b37f02b9,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,41,operacao x movimento,pedagogic_meta,sequencia_terapeutica,weak,True,False,False,,,False,single_line,"| priorizar emergência | sinais de alerta: dispneia em repouso, confusão/agitação, uso de musculatura acessória, dor torácica, sudorese noturna, perda ponderal | sinal-achado | operacional | narrativa acima do discriminador — investigar a causa ""mais provável"" antes de reconhecer que o paciente já está em sinal de alarme e precisa de estabilização imediata | checklist fixo de sinais de alerta a aplicar antes de qualquer hipótese diagnóstica em vinheta de dispneia |"
de63ed68c582266a,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,51,dados de precisao,assertive_clinical,emergencia_sinal_alarme,strong,True,True,False,,,False,single_line,"| Sinais de alerta (""sinais de alarme"") | dispneia em repouso durante o exame; diminuição do nível de consciência ou agitação/confusão mental; uso de musculatura acessória e excursão do ar reduzida; dor torácica; crepitações; perda ponderal; sudorese noturna; palpitações | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO |"
116e22cebd3e68ae,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,55,dados de precisao,assertive_clinical,sequencia_terapeutica,strong,True,True,False,,,False,single_line,| Exames de primeira linha | oximetria de pulso; RX de tórax; ECG; gasometria arterial; angioTC (se suspeita de TEP) | CASOS_CL_NICOS_RESUMO p.1 | CONFIRMADO |
2ba89e5a78c59174,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,61,pegadinhas,pedagogic_meta,emergencia_sinal_alarme,weak,True,False,False,,,False,single_line,"- Estridor (obstrução alta) é diferente de sibilo (obstrução baixa) — confundir os dois muda completamente a conduta (corpo estranho/obstrução de via aérea superior é emergência de via aérea, não broncodilatador)."
aece9d1eb8fb0103,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,69,distratores sedutores,pedagogic_meta,emergencia_sinal_alarme,strong,True,False,False,,,False,single_line,"| Paciente com dispneia e crepitação bibasal: fechar pneumonia e pedir só RX de tórax | crepitação + achado radiológico parecem suficientes para infecção | fechamento precoce sem checar sinais de alarme cardíacos | sem febre/tosse produtiva e com edema de MMII/ortopneia, a hipótese mais provável é IC esquerda, não pneumonia — ECG e BNP mudariam a conduta |"
ed9ecf1a18b9ef53,capsule:casos_clinicos:abordagem_a_dispneia,capsules/CASOS_CLINICOS/abordagem_a_dispneia.md,CASOS_CLINICOS,high,70,distratores sedutores,pedagogic_meta,sequencia_terapeutica,weak,True,False,False,,,False,single_line,"| Paciente jovem, ansioso, com dispneia leve recorrente: fechar transtorno de ansiedade generalizada (TAG) sem investigar mais | ansiedade é diagnóstico de exclusão ""fácil"" e comum nessa faixa etária | fechamento precoce / premissa não checada | se há fator de risco para TEP (uso de ACO, imobilização, viagem longa) presente na história, ansiedade não pode ser fechada antes de excluir causa orgânica grave |"
